Cargo,Provincia,Empresa,Descripción,Plataforma,URL
ASISTENTE DE OFICINA QUITO,Pichincha,Banco Solidario,Nos encontramos en la busqueda de un ASISTENTE DE OFICINA que maneje documentación administrada y ejecute actividades asignadas tales como:,Indeed,https://ec.indeed.com/rc/clk?jk=d8afebe5bca3ac2d&fccid=86385dd794c56c3c&vjs=3
CERVECERIA NACIONAL,Loja,CERVECERIA NACIONAL,Asegurar disponibilidad del portafolio de productos de acuerdo al subcanal y desarrollarlos utilizando efectivamente los recursos alcanzando la satisfacción…,Indeed,https://ec.indeed.com/rc/clk?jk=983f478c08551c88&fccid=0ced821699d200b7&vjs=3
HLGP,Guayas,HLGP,SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL.,Indeed,https://ec.indeed.com/rc/clk?jk=4f9815af7f048f93&fccid=36983db4fd583dee&vjs=3
Se busca Recepcionista,Guayas,Confidencial,"Atención a clientes, manejo de archivo, manejo de llamadas telefónicas.",Indeed,https://ec.indeed.com/rc/clk?jk=4afc41374880c20f&fccid=dd616958bd9ddc12&vjs=3
Recepcionista y facturista,Manabí,Confidencial,Comercial / Ventas / Atención al Cliente.,Indeed,https://ec.indeed.com/rc/clk?jk=dea4b460c6ce1cdb&fccid=dd616958bd9ddc12&vjs=3
Asistente de Almacén,Guayas,Vacantes Empleos.Net,Tres a seis meses como Asistente de Almacén /Bodega o desempeñando cargos afines.,Indeed,https://ec.indeed.com/rc/clk?jk=b853e08005440448&fccid=c25311cf88288277&vjs=3
Personal para bodega,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=2cb53f3552a87f2c&fccid=dd616958bd9ddc12&vjs=3
EVALUAR.COM,Guayas,EVALUAR.COM,IMPORTANTE EMPRESA DEL SECTOR ALIMENTICIO ESTÁ EN LA BÚSQUEDA DE PERSONAL PARA TRABAJAR EN SUPERMERCADO.,Indeed,https://ec.indeed.com/rc/clk?jk=3cfe5fcdea7f1481&fccid=2b3227c36c121c72&vjs=3
UNILEVER ANDINA,Guayas,UNILEVER ANDINA,Unilever es una de las empresas de consumo más grandes del mundo con presencia en más de 190 países.,Indeed,https://ec.indeed.com/rc/clk?jk=e4637dfc22dd1391&fccid=37e886222e0cbb3a&vjs=3
FARMAENLACE,Pichincha,FARMAENLACE,"Farmaenlace, empresa lider de comercializacion de productos farmaceuticos, se encuentra dentro de las 500 empresas más grandes del pais con presencia a nivel…",Indeed,https://ec.indeed.com/rc/clk?jk=5b1c3c1918146b36&fccid=ca51502fb6444eb4&vjs=3
Pronaca,Pichincha,Pronaca,"Responsable de la salud asistencial, preventiva, ocupacional y atenciones de emergencia del personal del centro de operación.",Indeed,https://ec.indeed.com/rc/clk?jk=be48a66333a214cd&fccid=f054879f3feffec3&vjs=3
Jose Raul Viñansaca Mosquera,Guayas,Jose Raul Viñansaca Mosquera,Necesitamos personas que estén dispuestas a completar una investigación de mercado y responder preguntas para las empresas con las que trabajamos.,Indeed,https://ec.indeed.com/rc/clk?jk=0e1155811e5924a3&fccid=1ad7bbe0c90195d3&vjs=3
ESTUDIO JURIDICO NIEVES DEFENSORES,Guayas,ESTUDIO JURIDICO NIEVES DEFENSORES,"Recuperación de cartera vencida en campo, realización de hoja ruta de clientes, realizar reportes de visitas , visitas a clientes , realizar recibos de cobro,…",Indeed,https://ec.indeed.com/rc/clk?jk=c878440917d49b94&fccid=db69095228db2949&vjs=3
Asistente Recepcionista,Pichincha,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=6a9c6d503f6c2fb3&fccid=dd616958bd9ddc12&vjs=3
FRAVEAR,Guayas,FRAVEAR,Somos un centro de entrenamiento cerebral.,Indeed,https://ec.indeed.com/rc/clk?jk=f7c20ec0ee105683&fccid=0c1793961b43495b&vjs=3
SALC Asistente de Gerencia,Pichincha,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=09e1214dff90c3a0&fccid=dd616958bd9ddc12&vjs=3
SUPAN,Tungurahua,SUPAN,"Bienvenido a Bimbo Ecuador, somos parte de Grupo Bimbo una empresa líder a nivel mundial en la industria de la panificación por volúmenes de producción y ventas…",Indeed,https://ec.indeed.com/rc/clk?jk=c32055087943d99d&fccid=7f381e2a942b0130&vjs=3
Corporación GPF - Grupo Fybeca,Guayas,Corporación GPF - Grupo Fybeca,"Somos una empresa en constante innovación, con cerca de 90 años al servicio del mercado ecuatoriano, ahora integrada a Socofar, líder regional en la…",Indeed,https://ec.indeed.com/rc/clk?jk=746ec776f428c8a9&fccid=6d515bfe1b784b77&vjs=3
Ecuador Internship Program (UIO) 2020 - 1,Pichincha,CITI,You're the brains behind our work.,Indeed,https://ec.indeed.com/rc/clk?jk=8c77bc7b78c96975&fccid=5bcd1ef0a7f4fb99&vjs=3
Megaprofer,Guayas,Megaprofer,MEGAPROFER - Empresa líder en el mercado ferretero se encuentra en la búsqueda de:,Indeed,https://ec.indeed.com/rc/clk?jk=10b8060dbf7e4292&fccid=618e76c3fa865058&vjs=3
ASISTENTE DE OFICINA QUITO,Pichincha,Banco Solidario,Nos encontramos en la busqueda de un ASISTENTE DE OFICINA que maneje documentación administrada y ejecute actividades asignadas tales como:,Indeed,https://ec.indeed.com/rc/clk?jk=d8afebe5bca3ac2d&fccid=86385dd794c56c3c&vjs=3
CERVECERIA NACIONAL,Loja,CERVECERIA NACIONAL,Asegurar disponibilidad del portafolio de productos de acuerdo al subcanal y desarrollarlos utilizando efectivamente los recursos alcanzando la satisfacción…,Indeed,https://ec.indeed.com/rc/clk?jk=983f478c08551c88&fccid=0ced821699d200b7&vjs=3
HLGP,Guayas,HLGP,SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL.,Indeed,https://ec.indeed.com/rc/clk?jk=4f9815af7f048f93&fccid=36983db4fd583dee&vjs=3
Se busca Recepcionista,Guayas,Confidencial,"Atención a clientes, manejo de archivo, manejo de llamadas telefónicas.",Indeed,https://ec.indeed.com/rc/clk?jk=4afc41374880c20f&fccid=dd616958bd9ddc12&vjs=3
Recepcionista y facturista,Manabí,Confidencial,Comercial / Ventas / Atención al Cliente.,Indeed,https://ec.indeed.com/rc/clk?jk=dea4b460c6ce1cdb&fccid=dd616958bd9ddc12&vjs=3
Asistente de Almacén,Guayas,Vacantes Empleos.Net,Tres a seis meses como Asistente de Almacén /Bodega o desempeñando cargos afines.,Indeed,https://ec.indeed.com/rc/clk?jk=b853e08005440448&fccid=c25311cf88288277&vjs=3
Personal para bodega,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=2cb53f3552a87f2c&fccid=dd616958bd9ddc12&vjs=3
EVALUAR.COM,Guayas,EVALUAR.COM,IMPORTANTE EMPRESA DEL SECTOR ALIMENTICIO ESTÁ EN LA BÚSQUEDA DE PERSONAL PARA TRABAJAR EN SUPERMERCADO.,Indeed,https://ec.indeed.com/rc/clk?jk=3cfe5fcdea7f1481&fccid=2b3227c36c121c72&vjs=3
UNILEVER ANDINA,Guayas,UNILEVER ANDINA,Unilever es una de las empresas de consumo más grandes del mundo con presencia en más de 190 países.,Indeed,https://ec.indeed.com/rc/clk?jk=e4637dfc22dd1391&fccid=37e886222e0cbb3a&vjs=3
FARMAENLACE,Pichincha,FARMAENLACE,"Farmaenlace, empresa lider de comercializacion de productos farmaceuticos, se encuentra dentro de las 500 empresas más grandes del pais con presencia a nivel…",Indeed,https://ec.indeed.com/rc/clk?jk=5b1c3c1918146b36&fccid=ca51502fb6444eb4&vjs=3
Fruit Packer for Canada - Empacador de frutas para Canada,Pichincha,Confidencial,Recruitment agency from Canada is looking for a Fruit Packer with experience.,Indeed,https://ec.indeed.com/rc/clk?jk=796ff70d63bb6b28&fccid=dd616958bd9ddc12&vjs=3
CABAMINSUR,Guayas,CABAMINSUR,Persona con alto nivel de orden y responsabilidad.,Indeed,https://ec.indeed.com/rc/clk?jk=5db696fe03faa888&fccid=4749cd6a6922bb03&vjs=3
Gerardo Ortiz,Pichincha,Gerardo Ortiz,"Cumplir y hacer cumplir los procedimientos de manipulación y rotación de los inventarios para evitar pérdidas, obsolescencia y deterioro de las mismas.",Indeed,https://ec.indeed.com/rc/clk?jk=998c0e20aec77886&fccid=b92328139d46b865&vjs=3
Banco Pichincha,Guayas,Banco Pichincha,En Banco Pichincha nos estamos transformando.,Indeed,https://ec.indeed.com/rc/clk?jk=5276dc14ee197acf&fccid=d6999eb73ed9528b&vjs=3
Bodeguero,Guayas,Vacantes Empleos.Net,Amplios conocimientos en Bodega y control de materiales.,Indeed,https://ec.indeed.com/rc/clk?jk=478d2d36a53e2d20&fccid=c25311cf88288277&vjs=3
Associate - Consulting,Pichincha,PwC,"Profesionales de las carreras de Negocios, Ing.",Indeed,https://ec.indeed.com/rc/clk?jk=28560d2a1e880aeb&fccid=5e964c4afc56b180&vjs=3
CHOFER CUSTODIO,Pichincha,Vacantes Empleos.Net,LICENCIA TIPO B Y PROFESIONAL MINIMO 26 PUNTOS.,Indeed,https://ec.indeed.com/rc/clk?jk=d83ec64d800757b4&fccid=c25311cf88288277&vjs=3
AYUDANTE DE BODEGA,Pichincha,Sedemi,"Las grandes construcciones nos ponen a prueba todos los días, esos grandes proyectos de infraestructura que nos llevan a superarnos como equipo y como seres…",Indeed,https://ec.indeed.com/rc/clk?jk=65c16d83c974d82e&fccid=a90945ffcfd24b3a&vjs=3
Economic and Climate Change Officer,Pichincha,Foreign & Commonwealth Office,Job Description (Roles and Responsibilities).,Indeed,https://ec.indeed.com/rc/clk?jk=24d26c19ce31d48d&fccid=0b2763f9c0c80005&vjs=3
ASISTENTE DE COMUNICACION -EVENTUAL,Pichincha,Banco Pichincha,En Banco Pichincha nos estamos transformando.,Indeed,https://ec.indeed.com/rc/clk?jk=40c8176eed4b1d98&fccid=d6999eb73ed9528b&vjs=3
Professional Services Consultant,Pichincha,Check Point Software Technologies Ltd.,Consulting on some of Check Point’s largest customers about product integration.,Indeed,https://ec.indeed.com/rc/clk?jk=419b4c4852faa8ab&fccid=c1ee211a89cc3f56&vjs=3
Apprentice,Guayas,Kimberly-Clark,Global VISA and Relocation Specifications:,Indeed,https://ec.indeed.com/rc/clk?jk=c092f3354144b10a&fccid=d5e3dc20c284054b&vjs=3
BIESS,Esmeraldas,BIESS,"Tercer Nivel en carreras de economía, finanzas o afines ( emitido por una universidad nacional o certificado original otorgado por la Senescyt ).",Indeed,https://ec.indeed.com/rc/clk?jk=839031f0bc759bf4&fccid=74880054038d40f6&vjs=3
CHOFER,Pichincha,Sedemi,"Las grandes construcciones nos ponen a prueba todos los días, esos grandes proyectos de infraestructura que nos llevan a superarnos como equipo y como seres…",Indeed,https://ec.indeed.com/rc/clk?jk=2a3b56457885f7b1&fccid=a90945ffcfd24b3a&vjs=3
Cajero,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=9a469484e46e564f&fccid=dd616958bd9ddc12&vjs=3
PERSONAL PARA PROYECTO DOCUMENTAL,Pichincha,FUNDACIÓN ANTRÓPOLIS,"Personal sin límite de edad con al menos 3 años de experiencia en su campo laboral, todas las áreas, para importante proyecto de teatro documental.",Indeed,https://ec.indeed.com/rc/clk?jk=aa61cbc4398db01b&fccid=323778eedd2c6ae9&vjs=3
Asistente de Gerencia General,Pichincha,Vacantes Empleos.Net,Manejo de la agenda del Gerente General.,Indeed,https://ec.indeed.com/rc/clk?jk=ee168d889f32adc4&fccid=c25311cf88288277&vjs=3
Market Strategy and Planning Intern,Pichincha,Procter & Gamble,Are you passionate about working for the world’s largest consumer goods company and you want to initiate a rewarding career where the focus is on continuous…,Indeed,https://ec.indeed.com/rc/clk?jk=65dbec097675660c&fccid=2da0dedf6df97194&vjs=3
Ayudante de bodega,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=4d9d9a9e40fd9f2d&fccid=dd616958bd9ddc12&vjs=3
Content Strategist,Pichincha,Buscojobs Ecuador,Nuestro cliente Reelgood es un startup bien financiado de Silicon Valley que busca un Content Strategist.,Indeed,https://ec.indeed.com/rc/clk?jk=f6f506e446438f4d&fccid=02042eb7de84489d&vjs=3
Subcontador,Guayas,Vacantes Empleos.Net,Cinco años de experiencia en el cargo.,Indeed,https://ec.indeed.com/rc/clk?jk=679c98e9808c74cf&fccid=c25311cf88288277&vjs=3
ALDEAS INFANTILES SOS ECUADOR,Azuay,ALDEAS INFANTILES SOS ECUADOR,"Ejecuta acciones de acompañamiento, desarrollo integral, y cuidado directo a niñas, niños, adolescentes y jóvenes que se encuentran en protección especial.",Indeed,https://ec.indeed.com/rc/clk?jk=97d9a2d9caf00c19&fccid=eca235ca7b7bf921&vjs=3
PERSONAL OPERATIVO,Pichincha,Sedemi,"Las grandes construcciones nos ponen a prueba todos los días, esos grandes proyectos de infraestructura que nos llevan a superarnos como equipo y como seres…",Indeed,https://ec.indeed.com/rc/clk?jk=e5c4e512e7e15ad0&fccid=a90945ffcfd24b3a&vjs=3
Edigta Rezabala,Pichincha,Edigta Rezabala,La persona tiene que ser_:,Indeed,https://ec.indeed.com/rc/clk?jk=a671a2d41c3b82a7&fccid=2778bde513be9e55&vjs=3
GRUPO PAPELESA,Santo Domingo de los Tsáchilas,GRUPO PAPELESA,"Debido a la exigente demanda y competitividad del mundo actual, constantemente nos encontramos en la bísqueda de profesionales con altos niveles de formación,…",Indeed,https://ec.indeed.com/rc/clk?jk=5e2eeac918e37301&fccid=32efa4a978190e41&vjs=3
Seda textil,Pichincha,Seda textil,El contenido de este aviso es de propiedad del anunciante.,Indeed,https://ec.indeed.com/rc/clk?jk=a610e4423958dc26&fccid=c253ff94232bf929&vjs=3
Auxiliar de limpieza,Manabí,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=84ac949dbc1b57f4&fccid=dd616958bd9ddc12&vjs=3
Business Development Coordinator,Pichincha,Visa,"As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network -…",Indeed,https://ec.indeed.com/rc/clk?jk=f0d70760e9f1b28c&fccid=a3f737e511d9fc8c&vjs=3
Gerente de Capital Humano,Pichincha,Brightstar Corp.,"Implementar y desarrollar los procesos de Capital Humano tales como Nómina, Selección, Inducción, Evaluación de Desempeño y Capacitación, de acuerdo con los…",Indeed,https://ec.indeed.com/rc/clk?jk=503fe2ed7e790367&fccid=2a4a0542ceed3983&vjs=3
ARCA ECUADOR.,Guayas,ARCA ECUADOR.,IMPORTANTE EMPRESA DE CONSUMO MASIVO REQUIERE INCORPORAR A SU EQUIPO DE TRABAJO 1 PERSONA CON DISCAPACIDAD :,Indeed,https://ec.indeed.com/rc/clk?jk=76c9e50e828df336&fccid=7a410a0cab0d165c&vjs=3
Seda textil,Pichincha,Seda textil,El contenido de este aviso es de propiedad del anunciante.,Indeed,https://ec.indeed.com/rc/clk?jk=a610e4423958dc26&fccid=c253ff94232bf929&vjs=3
Secretaria recepcionista,Pichincha,Confidencial,Obadental esta en proceso de selección para implementar en su equipo de trabajo una srta recepcionista que tenga experiencia mínima un año en cargos afines.,Indeed,https://ec.indeed.com/rc/clk?jk=68ab950b7aff66ad&fccid=dd616958bd9ddc12&vjs=3
AUXILIAR DE SERVICIO AL CLIENTE - MANTA,Manabí,Confidencial,Estudios superiores en carreras administrativas o afines.,Indeed,https://ec.indeed.com/rc/clk?jk=bb7b2c6e76b63932&fccid=dd616958bd9ddc12&vjs=3
Business Development Coordinator,Pichincha,Visa,"As the world's leader in digital payments technology, Visa's mission is to connect the world through the most creative, reliable and secure payment network -…",Indeed,https://ec.indeed.com/rc/clk?jk=f0d70760e9f1b28c&fccid=a3f737e511d9fc8c&vjs=3
Analista de Operaciones,Pichincha,Rappi,¡TU PRÓXIMO RETO ESTÁ EN RAPPI!,Indeed,https://ec.indeed.com/rc/clk?jk=470342d988514020&fccid=72647c43dd44e6cc&vjs=3
Gerente de Capital Humano,Pichincha,Brightstar Corp.,"Implementar y desarrollar los procesos de Capital Humano tales como Nómina, Selección, Inducción, Evaluación de Desempeño y Capacitación, de acuerdo con los…",Indeed,https://ec.indeed.com/rc/clk?jk=503fe2ed7e790367&fccid=2a4a0542ceed3983&vjs=3
DATA SCIENCE CONSULTANT QUITO,Pichincha,managementsolutions,Ecuador / Graduate / Number of vacancies:,Indeed,https://ec.indeed.com/rc/clk?jk=17cd34b9af405e6d&fccid=f3eca80b6759548b&vjs=3
Asistente Administrativa,Azuay,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=b94cd47efeac2acf&fccid=dd616958bd9ddc12&vjs=3
Movistar,Pichincha,Movistar,Fundación Telefónica Ecuador es el ser el brazo social del grupo Telefónica Movistar.,Indeed,https://ec.indeed.com/rc/clk?jk=5e0d8f038d60f86c&fccid=b1cf67d1fb8e893d&vjs=3
Logistic,Guayas,Logistic,Se necesita personal para 3 meses.,Indeed,https://ec.indeed.com/rc/clk?jk=5caea66f48958837&fccid=7615fac4eecc35f8&vjs=3
PwC Asesores Empresariales Cia. Ltda.,Pichincha,PwC Asesores Empresariales Cia. Ltda.,PwC Ecuador busca Mamás profesionales con carnet del Conadis o Sustitutas;,Indeed,https://ec.indeed.com/rc/clk?jk=ce54d63de33a1b3b&fccid=5e964c4afc56b180&vjs=3
PROMOTORES MEDICOS LATINOAMERICANOS LATINOMEDICAL S.A.,Pichincha,PROMOTORES MEDICOS LATINOAMERICANOS LATINOMEDICAL...,"Tercer nivel de carreras universitarias como Licenciatura en laboratorio clínico, Químico Farmacéutico, Bioquímico Clínico.",Indeed,https://ec.indeed.com/rc/clk?jk=0105f93683946316&fccid=5532f8d4eae68913&vjs=3
Fundación Niñez Internacional Quito,Pichincha,Fundación Niñez Internacional Quito,Administrar eficientemente el Centro Comunitario a su cargo a fin de dar cumplimiento satisfactorio y oportuno a los objetivos de la agencia;,Indeed,https://ec.indeed.com/rc/clk?jk=19d894acd9dbe6dc&fccid=b97ffbdd1ceac591&vjs=3
Cajeras,Pichincha,Vacantes Empleos.Net,Es importante que tengan mínimo 6 meses de experiencia en puestos similares.,Indeed,https://ec.indeed.com/rc/clk?jk=779e8e784f8d77c7&fccid=c25311cf88288277&vjs=3
ALICORP ECUADOR S.A.,Guayas,ALICORP ECUADOR S.A.,"Contribuir a la ejecución de procesos operativos de las áreas comerciales (Ventas, trade, marketing) para contribuir con los objetivos del negocio de consumo…",Indeed,https://ec.indeed.com/rc/clk?jk=08bb70d44578393b&fccid=3ae1360d0352f1c8&vjs=3
petroleos del litoral ecuatoriano sa petrolesa,Azuay,petroleos del litoral ecuatoriano sa petrolesa,"Jefe Logístico, para liderar las operaciones en el departamento asignado, siendo el responsable de garantizar la correcta ejecución en los procesos de recibo de…",Indeed,https://ec.indeed.com/rc/clk?jk=1feaa3fbf54df21b&fccid=f45c8947c5b08e2e&vjs=3
Mercaderista,Sucumbíos,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=d64729405866a720&fccid=dd616958bd9ddc12&vjs=3
Grupo VILASECA,Guayas,Grupo VILASECA,"Somos Grupo VILASECA, un grupo empresarial multinacional dedicado al desarrollo y comercialización de productos y servicios en las industrias de Empaques,…",Indeed,https://ec.indeed.com/rc/clk?jk=1c4bef99660ccf49&fccid=5c7b5bcbd3fad580&vjs=3
CAJERO/RA,Pichincha,Confidencial,"Importante empresa en el mercado, requiere de cajera/ro con experiencia en caja al menos de 1 años.",Indeed,https://ec.indeed.com/rc/clk?jk=edbb57e4b5d31245&fccid=dd616958bd9ddc12&vjs=3
Vendedores,Pichincha,Confidencial,"Almacenes de consumo masivo necesita vendedores para zona de Santo Domingo, visitarán los establecimientos comerciales, realizarán ventas y reportarán a…",Indeed,https://ec.indeed.com/rc/clk?jk=7c6ccef52c905e56&fccid=dd616958bd9ddc12&vjs=3
BANCO BOLIVARIANO,Guayas,BANCO BOLIVARIANO,Importante Institución Financiera requiere incorporar a su equipo de trabajo un asesor comercial para laborar en la ciudad de La Concordia ubicada en la…,Indeed,https://ec.indeed.com/rc/clk?jk=ebf1e22ffab083b6&fccid=03f8dee4e5980691&vjs=3
Administrador Comercial,Guayas,MultiServicio Empresarial,"Profesional del área Comercial, que acredite experiencia comprobable en posiciones similares, desempeño como asesor, administrador.",Indeed,https://ec.indeed.com/rc/clk?jk=705751c7101b6762&fccid=dd616958bd9ddc12&vjs=3
Impleseg Cia.Ltda.,Pichincha,Impleseg Cia.Ltda.,"Conductor de unidad movil y mensajero para servicios visuales, responsable, de sólidos valores éticos, proactivo.",Indeed,https://ec.indeed.com/rc/clk?jk=114c11c229bc15bf&fccid=9667f704700be386&vjs=3
Chofer de Reparto,Pichincha,Vacantes Empleos.Net,Cumplir con la ruta asignada.,Indeed,https://ec.indeed.com/rc/clk?jk=397ee47cf8cc01fd&fccid=c25311cf88288277&vjs=3
Oportunidad Laboral - Construcción - Técnicos,Pichincha,Multiservicios Torres,"Empresa líder en el sector de la construcción necesita incorporar a su equipo de trabajo personas con conocimientos técnicos multifuncionales, proactivos,…",Indeed,https://ec.indeed.com/rc/clk?jk=77610e5ef8f35214&fccid=cd840b7f028b72a6&vjs=3
Adriana Zúñiga,Pichincha,Adriana Zúñiga,Este trabajo es para hacerlo a domicilio.,Indeed,https://ec.indeed.com/rc/clk?jk=f483dbb65424f3fb&fccid=c97e5920d8a01457&vjs=3
KELBAY,Pichincha,KELBAY,"Prestigiosa empresa desea contratar CONTADORA, que cumpla con los siguientes requisitos:",Indeed,https://ec.indeed.com/rc/clk?jk=691bacb3e8291fe2&fccid=f958aa9c14825498&vjs=3
JABONERIA WILSON,Santo Domingo de los Tsáchilas,JABONERIA WILSON,Empresa comercializadora de productos de consumo masivo requiere vincular a su equipo de trabajo AYUDANTES DE ENTREGA QUE MANEJEN CAMIÓN para la ciudad de Santo…,Indeed,https://ec.indeed.com/rc/clk?jk=b0035f11037f7fe3&fccid=965ee695c7da9d10&vjs=3
Mensajero,Cotopaxi,Confidencial,Contrato de obra o labor.,Indeed,https://ec.indeed.com/rc/clk?jk=963489fde34032c3&fccid=dd616958bd9ddc12&vjs=3
Ayudante de bodega - Loja,Loja,Telconet,Llevar control de ingresos de mercadería.,Indeed,https://ec.indeed.com/rc/clk?jk=f47886886a6115a5&fccid=dec343e4ba580d10&vjs=3
ILE,Loja,ILE,Industria Lojana de Especerias ILE C.A.,Indeed,https://ec.indeed.com/rc/clk?jk=9ccb79bc962efd2d&fccid=dd616958bd9ddc12&vjs=3
BUSINESS CONSULTANT QUITO,Pichincha,managementsolutions,Ecuador / Graduate / Number of vacancies:,Indeed,https://ec.indeed.com/rc/clk?jk=65a7cbf1ddfdb502&fccid=f3eca80b6759548b&vjs=3
Auxiliar de logística,Cotopaxi,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=41fc6f4aa7c2c44a&fccid=dd616958bd9ddc12&vjs=3
PASANTE ADMINISTRATIVO,Pichincha,Banco Solidario,"Importante Institución Financiera esta en la búsqueda de Pasante para el área de Verificación y Digitación, estará a cargo de tareas operativas para lo que es…",Indeed,https://ec.indeed.com/rc/clk?jk=97150e9ed29607da&fccid=86385dd794c56c3c&vjs=3
Asistente en Nomina,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=32c0691911238e6a&fccid=dd616958bd9ddc12&vjs=3
BODEGUERO-CHOFER,Pichincha,Confidencial,"Multifuncional, encargado de bodega, entradas y salidas de mercadería, inventarios, compras de insumos para panadería, indispensable licencia de auto y moto,…",Indeed,https://ec.indeed.com/rc/clk?jk=914caebf90ef6d70&fccid=dd616958bd9ddc12&vjs=3
SE BUSCA CHOFER TIPO E O CHOFER TIPO G,Guayas,Confidencial,"Se busca chofer con licencia tipo E o tipo G para manejar camión Frightliner de 15 tonelas con caja de cambios sincronica, en la ciudad de Guayaquil.",Indeed,https://ec.indeed.com/rc/clk?jk=c1fb8b770ff0444d&fccid=dd616958bd9ddc12&vjs=3
Reportero Deportivo,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=afcafb4342a0e702&fccid=dd616958bd9ddc12&vjs=3
Personal operativo,Pichincha,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=6d96bb64db80f193&fccid=dd616958bd9ddc12&vjs=3
GERENTE ADMINISTRATIVO - FINANCIERO,Guayas,Almacenes Juan ElJuri,IMPORTANTE COMPAÑÍA REQUIERE GERENTE ADMINISTRATIVO - FINANCIERO.,Indeed,https://ec.indeed.com/rc/clk?jk=f76c6ef7b592c9fb&fccid=9677c6ed4ad564b4&vjs=3
CAJERO FINANCIERO QUEVEDO,Los Ríos,MUTUALISTA PICHINCHA,"ATIENDE Y EJECUTA LOS SERVICIOS DE CAJA DE LA AGENCIA, DE ACUERDO A LAS POLÍTICAS Y PROCEDIMIENTOS OPERATIVOS Y NORMAS DE SEGURIDAD, PARA SATISFACER LAS…",Indeed,https://ec.indeed.com/rc/clk?jk=4832dec9b2ba940f&fccid=c11b46a5694d1a35&vjs=3
PERSONAL PARA ENTREGAS QUITO SUPERMERCADO,Pichincha,EVALUAR PRIME,PERSONAL PARA ENTREGAS QUITO SUPERMERCADO.,Indeed,https://ec.indeed.com/rc/clk?jk=546ea35696c8d02c&fccid=7c671bb62f911e9a&vjs=3
Rivas y asociados,Pichincha,Rivas y asociados,Solicito personal para tele trabajo desde casa interesados enviar nombre y apellido al whatsapp.,Indeed,https://ec.indeed.com/rc/clk?jk=6bfc5e09f3be3076&fccid=04ea36333eeb4fdd&vjs=3
"ETIFLEX, ETIQUETAS FLEXOGRAFICAS CIA. LTDA",Guayas,"ETIFLEX, ETIQUETAS FLEXOGRAFICAS CIA. LTDA","Responsable de planificar y controlar el despacho de producto terminado, cumpliendo con las fechas programadas de envío.",Indeed,https://ec.indeed.com/rc/clk?jk=ab5ec1d5fd07b818&fccid=8789145d01c8b643&vjs=3
Moderna Alimentos S.A,Guayas,Moderna Alimentos S.A,Apoyar en todas las actividades del proceso productivo de molinería.,Indeed,https://ec.indeed.com/rc/clk?jk=deab3d0664574e50&fccid=04cc1b9ecba67b5e&vjs=3
Dos Psicólogas Educativas o Clínicas,Imbabura,Confidencial,Manejar áreas en las Inteligencias Emocionales e Interpersonales.,Indeed,https://ec.indeed.com/rc/clk?jk=fc92fe5ce58f0d6a&fccid=dd616958bd9ddc12&vjs=3
Asistente administrativo,Guayas,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=73b3bd48e5586865&fccid=dd616958bd9ddc12&vjs=3
Andrés Ojeda Aráuz,Pichincha,Andrés Ojeda Aráuz,"Busco Vendedores Freelance, para comercialización de productos al por mayor y menor.",Indeed,https://ec.indeed.com/rc/clk?jk=c0ba4d846d51cb8c&fccid=02eaa60aeca3ca25&vjs=3
Drywall Installer para Canada,Pichincha,Confidencial,Recruitment agency from Canada is looking for a construction worker with experience.,Indeed,https://ec.indeed.com/rc/clk?jk=54061e50c14c95af&fccid=dd616958bd9ddc12&vjs=3
Monitor de Consola,Azuay,Confidencial,Disponibilidad de cambio de residencia:,Indeed,https://ec.indeed.com/rc/clk?jk=7eeb178e01ff88ae&fccid=dd616958bd9ddc12&vjs=3
Pasante de Selección de Personal,Pichincha,PwC,Estudiantes de últimos niveles de la carrera de Psicología Organizacional o laboral.,Indeed,https://ec.indeed.com/rc/clk?jk=86d026bfbf5952c6&fccid=5e964c4afc56b180&vjs=3
